name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
Lamar Alexander,"Alexander, Lamar",,SenAlexander,senatorlamaralexander,Republican,republican,ocd-division/country:us/state:tn,Tennessee,Senate,116,,,https://theunitedstates.io/images/congress/original/A000360.jpg,male,Q419976,Q29468,Q1509
Lindsey Graham,"Graham, Lindsey",,GrahamBlog,USSenatorLindseyGraham,Republican,republican,ocd-division/country:us/state:sc,South Carolina,Senate,116,,,https://theunitedstates.io/images/congress/original/G000359.jpg,male,Q22212,Q29468,Q1456
Lisa Murkowski,"Murkowski, Lisa",,LisaMurkowski,SenLisaMurkowski,Republican,republican,ocd-division/country:us/state:ak,Alaska,Senate,116,,,https://theunitedstates.io/images/congress/original/M001153.jpg,female,Q22360,Q29468,Q797
Marco Rubio,"Rubio, Marco",,SenRubioPress,SenatorMarcoRubio,Republican,republican,ocd-division/country:us/state:fl,Florida,Senate,116,,,https://theunitedstates.io/images/congress/original/R000595.jpg,male,Q324546,Q29468,Q812
Margaret Wood Hassan,"Hassan, Margaret",,Senatorhassan,SenatorHassan,Democrat,democrat,ocd-division/country:us/state:nh,New Hampshire,Senate,116,,,https://theunitedstates.io/images/congress/original/H001076.jpg,female,Q24053,Q29552,Q759
Maria Cantwell,"Cantwell, Maria",,SenatorCantwell,senatorcantwell,Democrat,democrat,ocd-division/country:us/state:wa,Washington,Senate,116,,,https://theunitedstates.io/images/congress/original/C000127.jpg,female,Q22250,Q29552,Q1223
Mark R. Warner,"Warner, Mark",,MarkWarner,MarkRWarner,Democrat,democrat,ocd-division/country:us/state:va,Virginia,Senate,116,,,https://theunitedstates.io/images/congress/original/W000805.jpg,male,Q453893,Q29552,Q1370
Marsha Blackburn,"Blackburn, Marsha",,MarshaBlackburn,marshablackburn,Republican,republican,ocd-division/country:us/state:tn,Tennessee,Senate,116,,,https://theunitedstates.io/images/congress/original/B001243.jpg,female,Q458971,Q29468,Q1509
Martha McSally,"McSally, Martha",,SenMcSallyAZ,,Republican,republican,ocd-division/country:us/state:az,Arizona,Senate,116,,,https://theunitedstates.io/images/congress/original/M001197.jpg,female,Q6774492,Q29468,Q816
Martin Heinrich,"Heinrich, Martin",,MartinHeinrich,MartinHeinrich,Democrat,democrat,ocd-division/country:us/state:nm,New Mexico,Senate,116,,,https://theunitedstates.io/images/congress/original/H001046.jpg,male,Q565374,Q29552,Q1522
